synthetic_banner,question_id,section,question_text,answer_text,evidence_status,evidence_status_display,evidence_references,qualification,fictional_owner_assertion,open_item,not_applicable_reason,claim_scope,customer_approval_state
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q001,Governance and security program,Do you maintain a documented information security program?,"Yes. Cinderline maintains a documented security program covering the DocWeave AI hosted production scope, with named control owners and annual review.",supported,Supported,EVD-001,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q002,Governance and security program,Is responsibility for information security formally assigned?,"Yes. The Security & Platform Lead owns day-to-day security coordination, with executive accountability held by the Founder & CTO.",supported,Supported,EVD-001,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q003,Governance and security program,How often are security policies reviewed?,"Core security procedures are reviewed at least annually and after a material product, regulatory, or incident-driven change.",supported,Supported,EVD-001,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q004,Governance and security program,Do you perform formal information security risk assessments?,Cinderline completed a scoped risk review for the hosted product and records treatment owners for identified risks.,supported_with_qualification,Supported with qualification,EVD-001|EVD-009,"The review is an internal, product-scoped assessment and is not represented as an enterprise-wide independent risk audit.",,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q005,Governance and security program,"Do you currently hold SOC 2, ISO 27001, or an equivalent certification?","No. Cinderline does not currently hold SOC 2, ISO 27001, or an equivalent certification.",owner_assertion,Owner assertion,,,"{""name"": ""Mara Venn"", ""role"": ""Founder & CTO"", ""assertion_date"": ""2026-07-02""}",,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q006,Access control,Are individual workforce accounts required for access to company systems?,Yes. Workforce and administrative access uses individually assigned accounts; routine shared user accounts are prohibited.,supported,Supported,EVD-002,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q007,Access control,Is multi-factor authentication required for privileged access?,Yes. Multi-factor authentication is required for privileged administrative access to the hosted production scope.,supported,Supported,EVD-002,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q008,Access control,Is access granted according to role and least privilege?,"Yes. Access is assigned by role, limited to approved job responsibilities, and reviewed when responsibilities change.",supported,Supported,EVD-002,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q009,Access control,Are user and privileged access rights reviewed periodically?,"Yes. Production and privileged access is reviewed quarterly, with the latest fictional review recorded on 2026-06-25.",supported,Supported,EVD-002|EVD-009,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q010,Access control,Is access removed promptly when personnel leave or change roles?,"Yes. Joiner, mover, and leaver steps require role-change review and same-day disabling for confirmed departures.",supported,Supported,EVD-002,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q011,Access control,Is production administrative access logged?,Yes. Administrative access events are logged and retained according to the production logging schedule.,supported,Supported,EVD-002|EVD-004,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q012,Access control,Can enterprise customers use single sign-on with the product?,Yes. SAML-based single sign-on can be enabled for enterprise customer tenants through a controlled configuration process.,owner_assertion,Owner assertion,,,"{""name"": ""Ren Okafor"", ""role"": ""Engineering Lead"", ""assertion_date"": ""2026-07-02""}",,,DocWeave AI hosted production scope,approved
